epoch,total_loss,encoder_mse,decoder_mse,ber_loss,duration
1,0.0001,0.0001,0.0000,0.0000,378
2,0.0001,0.0001,0.0000,0.0000,376
3,0.0001,0.0001,0.0000,0.0000,376
4,0.0001,0.0001,0.0000,0.0000,376
5,0.0001,0.0001,0.0000,0.0000,379
6,0.0001,0.0001,0.0000,0.0000,376
7,0.0001,0.0001,0.0000,0.0000,376
8,0.0001,0.0001,0.0000,0.0000,376
9,0.0001,0.0001,0.0000,0.0000,376
10,0.0001,0.0001,0.0000,0.0000,376
11,0.0001,0.0001,0.0000,0.0000,376
12,0.0001,0.0001,0.0000,0.0000,376
13,0.0001,0.0001,0.0000,0.0000,376
14,0.0001,0.0001,0.0000,0.0000,376
15,0.0001,0.0001,0.0000,0.0000,376
16,0.0001,0.0001,0.0000,0.0000,376
17,0.0001,0.0001,0.0000,0.0000,377
18,0.0001,0.0001,0.0000,0.0000,376
19,0.0001,0.0001,0.0000,0.0000,380
20,0.0001,0.0001,0.0000,0.0000,378
21,0.0001,0.0001,0.0000,0.0000,378
22,0.0001,0.0001,0.0000,0.0000,377
23,0.0001,0.0001,0.0000,0.0000,377
24,0.0001,0.0001,0.0000,0.0000,378
25,0.0001,0.0001,0.0000,0.0000,378
26,0.0001,0.0001,0.0000,0.0000,378
27,0.0001,0.0001,0.0000,0.0000,378
28,0.0001,0.0001,0.0000,0.0000,379
29,0.0001,0.0001,0.0000,0.0000,379
30,0.0001,0.0001,0.0000,0.0000,378
31,0.0001,0.0001,0.0000,0.0000,380
32,0.0001,0.0001,0.0000,0.0000,378
33,0.0001,0.0001,0.0000,0.0000,377
34,0.0001,0.0001,0.0000,0.0000,377
35,0.0001,0.0001,0.0000,0.0000,377
36,0.0001,0.0001,0.0000,0.0000,377
37,0.0001,0.0001,0.0000,0.0000,377
38,0.0001,0.0001,0.0000,0.0000,378
39,0.0001,0.0001,0.0000,0.0000,377
40,0.0001,0.0001,0.0000,0.0000,376
41,0.0001,0.0001,0.0000,0.0000,376
42,0.0001,0.0001,0.0000,0.0000,376
43,0.0001,0.0001,0.0000,0.0000,376
44,0.0001,0.0001,0.0000,0.0000,376
45,0.0001,0.0001,0.0000,0.0000,376
46,0.0001,0.0001,0.0000,0.0000,378
47,0.0001,0.0001,0.0000,0.0000,378
48,0.0001,0.0001,0.0000,0.0000,378
49,0.0001,0.0001,0.0000,0.0000,378
