epoch,total_loss,encoder_mse,decoder_mse,ber_loss,duration
1,0.6022,0.0010,0.4010,0.4010,11
2,0.5561,0.0009,0.3703,0.3703,10
3,0.5000,0.0010,0.3329,0.3329,10
4,0.6511,0.0010,0.4336,0.4336,10
5,0.5982,0.0009,0.3984,0.3984,10
6,0.4533,0.0009,0.3018,0.3018,10
7,0.4493,0.0009,0.2991,0.2991,10
8,0.4515,0.0009,0.3006,0.3006,10
9,0.7023,0.0010,0.4678,0.4678,10
10,0.6504,0.0010,0.4332,0.4332,10
11,0.6479,0.0009,0.4315,0.4315,10
12,0.6041,0.0009,0.4023,0.4023,10
13,0.6976,0.0009,0.4647,0.4647,10
14,0.6952,0.0009,0.4630,0.4630,10
15,0.7008,0.0009,0.4668,0.4668,10
16,0.6976,0.0009,0.4646,0.4646,10
17,0.6480,0.0009,0.4316,0.4316,10
18,0.7043,0.0010,0.4691,0.4691,10
19,0.5023,0.0010,0.3344,0.3344,10
20,0.6534,0.0009,0.4352,0.4352,10
21,0.7545,0.0009,0.5025,0.5025,10
22,0.6046,0.0009,0.4026,0.4026,10
23,0.4012,0.0009,0.2670,0.2670,10
24,0.6048,0.0009,0.4028,0.4028,10
25,0.6044,0.0009,0.4025,0.4025,10
26,0.6565,0.0010,0.4372,0.4372,10
27,0.6595,0.0009,0.4393,0.4393,10
28,0.5521,0.0009,0.3676,0.3676,10
29,0.6513,0.0009,0.4338,0.4338,10
30,0.5037,0.0009,0.3354,0.3354,10
31,0.3991,0.0010,0.2656,0.2656,10
32,0.5539,0.0010,0.3688,0.3688,10
33,0.6539,0.0009,0.4355,0.4355,10
34,0.6547,0.0009,0.4361,0.4361,10
35,0.5023,0.0009,0.3344,0.3344,10
36,0.5526,0.0009,0.3680,0.3680,10
37,0.5024,0.0010,0.3345,0.3345,10
38,0.6003,0.0009,0.3998,0.3998,10
39,0.6053,0.0010,0.4031,0.4031,10
40,0.7004,0.0009,0.4665,0.4665,10
41,0.6071,0.0009,0.4043,0.4043,10
42,0.5531,0.0009,0.3683,0.3683,10
43,0.5997,0.0009,0.3994,0.3994,10
44,0.5503,0.0009,0.3664,0.3664,10
45,0.6004,0.0009,0.3999,0.3999,10
46,0.7036,0.0009,0.4686,0.4686,10
47,0.6025,0.0009,0.4012,0.4012,10
48,0.6513,0.0010,0.4338,0.4338,10
49,0.6514,0.0010,0.4338,0.4338,10
50,0.5539,0.0009,0.3688,0.3688,10
51,0.6542,0.0010,0.4357,0.4357,10
52,0.6023,0.0009,0.4011,0.4011,9
53,0.6004,0.0009,0.3999,0.3999,11
54,0.6546,0.0009,0.4360,0.4360,10
55,0.6024,0.0009,0.4012,0.4012,10
56,0.7560,0.0009,0.5036,0.5036,10
57,0.6533,0.0009,0.4351,0.4351,10
58,0.5021,0.0009,0.3343,0.3343,10
